"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,7.27981897918403,0.54,0.016,0,"12","SDC1"
0,7.2633567994424,0.571,0.012,0,"12","TRIM29"
0,7.09661566338282,0.482,0.011,0,"12","AQP3"
0,6.66506950308797,0.464,0.017,0,"12","IRF6"
0,6.55212453958994,0.299,0.008,0,"12","BARX2"
0,6.39179447245765,0.397,0.012,0,"12","FGFR3"
0,6.13751924180217,0.355,0.008,0,"13","BNC1"
2.09411279423595e-297,5.56827618046994,0.25,0.006,3.63412334311706e-293,"13","CALB2"
4.07509853032313e-250,5.20170506057846,0.305,0.012,7.07192598952276e-246,"13","RGS4"
3.03018233384786e-104,4.38220374977942,0.286,0.028,5.25857842215958e-100,"13","FAM110C"
1.06702294669002e-171,4.24728227507122,0.264,0.014,1.85171162168587e-167,"13","SBSPON"
5.04420231512494e-218,3.7663393870992,0.309,0.015,8.75370869766782e-214,"13","ALDH1A2"
6.73593146146365e-129,3.70879060242259,0.264,0.019,1.1689535458224e-124,"13","PTGER3"
2.20646416659397e-89,3.58758995836711,0.468,0.088,3.82909791470718e-85,"13","CLDN1"
7.31024957675387e-78,3.45624269941041,0.482,0.102,1.26862071154987e-73,"13","ENC1"
4.55879364165193e-136,3.05755916033023,0.268,0.018,7.91133048572275e-132,"13","PAPPA"
1.20216004852598e-230,5.14856356069625,0.629,0.028,2.08622854821199e-226,"14","ISG15"
4.07818996466664e-208,4.97682455375347,0.978,0.085,7.07729086468249e-204,"14","IFI6"
2.9285247091594e-319,4.82622554184583,0.483,0.011,5.08216178027523e-315,"14","IFIT1"
8.92110336351181e-273,4.669923252783,0.921,0.054,1.54816827770384e-268,"14","MX1"
9.65151264423649e-163,4.55278834212591,0.966,0.107,1.6749235042808e-158,"14","DDX58"
2.64385309586748e-196,4.30738493363589,0.865,0.067,4.58814266256843e-192,"14","HELZ2"
2.61924901949488e-167,4.27933942969946,0.921,0.093,4.54544474843142e-163,"14","IFI44L"
8.10948090121088e-201,4.23548012021614,0.685,0.039,1.40731931559614e-196,"14","HSH2D"
1.14407427038058e-233,4.00538914887411,0.629,0.027,1.98542648881846e-229,"14","OAS2"
3.01735241619334e-89,3.90965061612342,0.955,0.214,5.23631338306192e-85,"14","PARP14"
0,12.4039058177925,0.324,0,0,"15","FAM216B"
0,10.2721943033448,0.352,0,0,"15","FRMPD2"
0,9.72445412467298,0.507,0,0,"15","SNTN"
0,9.23460184980409,0.296,0.001,0,"15","DYDC1"
0,9.19057884160031,0.577,0.002,0,"15","CFAP99"
0,8.89779924260315,0.465,0.001,0,"15","C1orf158"
0,8.80746724988413,0.423,0.001,0,"15","IL5RA"
0,8.77210861737941,0.408,0.001,0,"15","KIAA2012"
0,8.58287540448665,0.338,0.001,0,"15","LMNTD1"
0,8.56629152531938,0.915,0.004,0,"15","CDHR4"
